area,gisjoin1950,gisjoin2010
.00049277901,G06003700168,G0600370212900
.0192394,G06003700168,G0600370213100
.0080804601,G06003700168,G0600370213202
1.1900000e-09,G06003700168,G0600370221402
.22725099,G06003700168,G0600370221304
.233226,G06003700168,G0600370221303
.0088617802,G06003700168,G0600370218120
6.0730002e-08,G06003700168,G0600370218800
.0031518401,G06003700203,G0600370218900
.0070533901,G06003700203,G0600370221302
.26649901,G06003700203,G0600370221402
.52366501,G06003700203,G0600370221401
.00052184903,G06003700203,G0600370218800
.00260021,G06003700204,G0600370219010
.00133613,G06003700204,G0600370218900
.46351299,G06003700204,G0600370222001
.0134488,G06003700204,G0600370221401
.0023854701,G06003700538A,G0600370554406
.0156385,G06003700538A,G0600370504102
1.53537,G06003700538A,G0600370554802
1.38871,G06003700538A,G0600370554900
.0034729501,G06003700538A,G0600370554511
.56696302,G06003700538A,G0600370554513
8.9213499e-06,G06003700538A,G0600370554522
3.8259101,G06003700538A,G0600370554512
1.29299,G06003700538A,G0600370554517
.037183799,G06003700538A,G0600370554515
.0093656499,G06003700538A,G0600370552900
.0231531,G06003700538A,G0600370553000
.064157702,G06003700538A,G0600370552602
.00156277,G06003700538A,G0600370552601
.030518999,G06003700538A,G0600370553100
1.5066299,G06003700538A,G0600370554514
.50177902,G06003700538A,G0600370554516
1.05603,G06003700538A,G0600370554600
4.3474498,G06003700538A,G0600370554521
.80044001,G06003700538A,G0600370554700
.90444702,G06003700538A,G0600370554801
.96053201,G06003700540B,G0600370552302
.703587,G06003700540B,G0600370552002
.80038297,G06003700540B,G0600370552001
2.38254,G06003700540B,G0600370504102
1.29375,G06003700540B,G0600370552800
1.30063,G06003700540B,G0600370552900
.68351698,G06003700540B,G0600370552400
1.21745,G06003700540B,G0600370553000
1.31042,G06003700540B,G0600370552602
1.37544,G06003700540B,G0600370552700
.70981997,G06003700540B,G0600370552601
.000043033,G06003700540B,G0600370553100
.00054870901,G06003700540B,G0600370554600
.0000150495,G06003700540B,G0600370554521
.0068623601,G06003700540B,G0600370553200
.00100005,G06003700540B,G0600370554700
1.68794,G06003700540B,G0600370552200
1.46187,G06003700540B,G0600370552100
1.5496401,G06003700540B,G0600370551900
1.23981,G06003700540B,G0600370552301
8.3343502e-06,G06003700537B,G0600370554406
.00426132,G06003700537B,G0600370554405
.00205515,G06003700537B,G0600370554301
.65661901,G06003700537B,G0600370554204
.67899698,G06003700537B,G0600370554203
.00096029299,G06003700537B,G0600370554105
.000666946,G06003700537B,G0600370554002
.96575898,G06003700537B,G0600370554201
.0023133,G06003700537B,G0600370554404
.00338368,G06003700537B,G0600370554403
.0052430201,G06003700537A,G0600370554406
.0027348299,G06003700537A,G0600370554204
.00321538,G06003700537A,G0600370554203
.336225,G06003700537A,G0600370554105
.36447999,G06003700537A,G0600370554104
.00013174801,G06003700537A,G0600370553300
1.26197,G06003700537A,G0600370554002
.0032162699,G06003700537A,G0600370554201
.0238785,G06003700537A,G0600370553000
2.02478,G06003700537A,G0600370553100
.000048068301,G06003700537A,G0600370554521
.0039658798,G06003700537A,G0600370553200
